fn,game,true,pred_tv,s_tv,g_tv,pred_bil,s_bil,g_bil
PXL_20260614_142313225.jpg,yugioh,ygo-RA04-EN057-73580471,ygo-L26D-ENX31-73580471,0.9032,0.0,ygo-L26D-ENX31-73580471,0.8988,0.0
PXL_20260614_142324969.jpg,yugioh,ygo-RA04-EN066-63746411,ygo-RA04-EN066-63746411,0.8405,0.0,ygo-LED9-EN053-63746411,0.8349,0.0
PXL_20260614_142334884.jpg,yugioh,ygo-RA04-EN064-12014404,ygo-WIRA-EN043-12014404,0.831,0.0,ygo-CT10-EN010-12014404,0.8304,0.0
PXL_20260614_142342775.jpg,yugioh,ygo-MGED-EN115-43886072,ygo-MGED-EN115-43886072,0.8853,0.0,ygo-HISU-EN021-43886072,0.8838,0.0
PXL_20260614_142343980.jpg,yugioh,ygo-MGED-EN115-43886072,ygo-MGED-EN115-43886072,0.8813,0.0,ygo-HISU-EN021-43886072,0.884,0.0
PXL_20260614_142356212.jpg,yugioh,ygo-MP25-EN027-46502744,ygo-CORE-EN045-46502744,0.8081,0.0,ygo-MP16-EN076-46502744,0.8046,0.0
PXL_20260614_142404352.jpg,yugioh,ygo-SDBT-EN005-28201945,ygo-PGL2-EN038-28201945,0.8751,0.0,ygo-PGL2-EN038-28201945,0.8753,0.0
PXL_20260614_142414276.jpg,yugioh,ygo-MGED-EN068-9753964,ygo-MGED-EN068-9753964,0.9186,0.0,ygo-HSRD-EN041-9753964,0.919,0.0
PXL_20260614_142426760.jpg,yugioh,ygo-SDBT-EN008-28868394,ygo-SDBT-EN008-28868394,0.9016,0.0,ygo-MP22-EN063-28868394,0.8997,0.0
PXL_20260614_142434918.jpg,yugioh,ygo-SDBT-EN006-45803070,ygo-SDBT-EN006-45803070,0.8777,0.0,ygo-MAGO-EN075-45803070,0.8806,0.0
PXL_20260614_142447926.jpg,yugioh,ygo-DREV-EN087-79965360,ygo-SGX3-END12-79965360,0.8112,0.0,ygo-DREV-EN087-79965360,0.8085,0.0
PXL_20260614_142455597.jpg,yugioh,ygo-SGX3-END13-712559,ygo-MP24-EN074-92714517,0.763,0.0,ygo-DREV-EN053-712559,0.7756,0.0
PXL_20260614_142509362.jpg,pokemon,me2pt5-28,me2pt5-28,0.8989,0.0348,me2pt5-28,0.9002,0.0381
